Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,CylindersinEngine,DriveType,FuelType,FuelConsumption,Kilometres,Location,States,BodyType,Price
MG,2021,HS,SUV,2021 MG HS Excite,USED,Automatic,1.5,4,Front,Unleaded,7.3,38763,"Bentley, WA", WA,SUV,28588
Ford,2011,Territory,Gamers Autos,2011 Ford Territory SZ Titanium Wagon 7st 4dr Seq Sport Shift 6sp RWD 4.0i,USED,Automatic,,,Other,Unleaded,,216000,"Hamilton Hill, WA", WA,Wagon,12250
Suzuki,2016,Swift,Hatchback,2016 Suzuki Swift Sport Navigator,USED,Automatic,1.6,4,Front,Unleaded,6.1,54344,"Cannington, WA", WA,Hatchback,19998
Audi,2018,A3,Sedan,2018 Audi A3 2.0 Tfsi Quattro S Line,USED,Automatic,2,4,AWD,Premium,6.1,61811,"Bentley, WA", WA,Sedan,35996
Toyota,2023,Landcruiser,Ute / Tray,2023 Toyota Landcruiser 70 Series LC79 Workmate,USED,Manual,4.5,8,AWD,Diesel,10.7,4000,"Bentley, WA", WA,UTE,126988
Toyota,2020,Hilux,Ute / Tray,2020 Toyota Hilux Rogue (4X4),USED,Automatic,2.8,4,4WD,Diesel,8.5,51476,"Rockingham, WA", WA,UTE,69990
Toyota,2010,Ractis,"08 **** ****
",2010 Toyota Ractis,USED,-,,,Other,-,,26103,"Perth, WA", WA,Hatchback,28888
Ford,2019,Everest,SUV,2019 Ford Everest Titanium (4WD 7 Seat),USED,Automatic,2,4,4WD,Diesel,7.1,61131,"Cannington, WA", WA,SUV,56997
Holden,2018,Captiva,JPM MOTORS,2018 Holden Captiva CG 5 LTZ Wagon 4dr Spts Auto 6sp 4x4 2.2DT,USED,Automatic,,,AWD,Diesel,,177101,"Maddington, WA", WA,Wagon,16990
Holden,2006,Calais,Sedan,2006 Holden Calais V,USED,Automatic,3.6,6,Rear,Unleaded,11,178950,"Osborne Park, WA", WA,Sedan,10990
Kia,2020,Cerato,Sedan,2020 Kia Cerato S,USED,Automatic,2,4,Front,Unleaded,7.4,59383,"Bentley, WA", WA,Sedan,23980
MG,2021,HS,SUV,2021 MG HS Excite,USED,Automatic,1.5,4,Front,Unleaded,7.3,36624,"Bentley, WA", WA,SUV,28988
Mazda,2021,CX-30,SUV,2021 Mazda CX-30 G20 Touring Vision (fwd),USED,Automatic,2,4,Front,Unleaded,6.5,28997,"Maddington, WA", WA,SUV,35989
Holden,2008,Commodore,Wagon,2008 Holden Commodore SV6,USED,Automatic,3.6,6,Rear,Unleaded,11,213297,"Osborne Park, WA", WA,Wagon,12990
Ford,2022,Puma,SUV,2022 Ford Puma ST-Line,USED,Automatic,1,3,Front,Premium,5.3,9048,"Mandurah, WA", WA,SUV,34444
Volkswagen,2015,Golf,Hatchback,2015 Volkswagen Golf 103 TSI Highline,USED,Automatic,1.4,4,Front,Premium,5.2,85269,"Morley, WA", WA,Hatchback,18888
Kia,2022,Carnival,Wagon,2022 Kia Carnival S,USED,Automatic,3.5,6,Front,Unleaded,9.6,3202,"Victoria Park, WA", WA,Wagon,52999
Holden,2013,Caprice,Sedan,2013 Holden Caprice V,USED,Automatic,6,8,Rear,Premium,14.5,84333,"Welshpool, WA", WA,Sedan,34999
Toyota,2023,Kluger,SUV,2023 Toyota Kluger GXL 2WD,USED,Automatic,2.4,4,Front,Unleaded,8.3,112,"Morley, WA", WA,SUV,76888
BMW,2007,325I,Coupe,2007 BMW 325I,USED,Automatic,2.5,6,Rear,Premium,9,241871,"Osborne Park, WA", WA,Coupe,13990
Ssangyong,2023,Korando,SUV,2023 Ssangyong Korando ELX,USED,Automatic,1.5,4,Front,Unleaded,7.7,23,"Bunbury, WA", WA,SUV,33585
Toyota,2008,Century,"08 **** ****
",2008 Toyota Century V12,USED,-,,,Other,-,,87502,"Perth, WA", WA,Sedan,42888
Audi,2016,RS3,Hatchback,2016 Audi RS3 Sportback Quattro,USED,Automatic,2.5,5,AWD,Premium,8.1,74700,"Myaree, WA", WA,Hatchback,54990
Mazda,2015,CX-5,SUV,2015 Mazda CX-5 Maxx Sport (4X4),USED,Automatic,2.5,4,AWD,Unleaded,7.4,84583,"Myaree, WA", WA,SUV,25350
Mitsubishi,2018,Outlander,SUV,2018 Mitsubishi Outlander ES 7 Seat (2WD),USED,Automatic,2.4,4,Front,Unleaded,6.8,120449,"Morley, WA", WA,SUV,24998
Mazda,2021,CX-3,SUV,2021 Mazda CX-3 Akari (awd),USED,Automatic,2,4,AWD,Unleaded,6.7,20590,"Myaree, WA", WA,SUV,36888
Hyundai,2006,Getz,Hatchback,2006 Hyundai Getz 1.6,USED,Automatic,1.6,4,Front,Unleaded,7.1,237598,"Victoria Park, WA", WA,Hatchback,5985
Nissan,2021,Qashqai,SUV,2021 Nissan Qashqai ST,USED,Automatic,2,4,Front,Unleaded,6.9,70205,"Osborne Park, WA", WA,SUV,27990
Mazda,2019,3 Series,USED Dealer ad,2019 Mazda 3,USED,Automatic,,,Front,Unleaded,,30581,"Cannington, WA", WA,Sedan,25990
Hyundai,2019,Kona,SUV,2019 Hyundai Kona Active (fwd),USED,Automatic,2,4,Front,Unleaded,7.2,87601,"Bentley, WA", WA,SUV,24369
Mercedes-Benz,2013,C250,Sedan,2013 Mercedes-Benz C250 CDI Elegance BE,USED,Automatic,2.1,4,Rear,Diesel,5.1,131948,"Saint James, WA", WA,Sedan,19990
BMW,2015,X3,SUV,2015 BMW X3 Xdrive 20I,USED,Automatic,2,4,4WD,Premium,7.3,93671,"Canning Vale, WA", WA,SUV,32980
