Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,States,CylindersinEngine,BodyType,Doors,Seats,Price
Mercedes-Benz,2019.0,2019 Mercedes-Benz GLA180,SUV,2019 Mercedes-Benz GLA180,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,5.7 L / 100 km,14553,Grey / Leather,"Springvale, VIC",VIC,4 cyl,SUV, 4 Doors, 5 Seats,46988
Toyota,2018.0,2018 Toyota Hilux SR5 (4X4),Ute / Tray,2018 Toyota Hilux SR5 (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.5 L / 100 km,211622,Grey / Black Fabric,"Traralgon, VIC",VIC,4 cyl,UTE, 4 Doors, 5 Seats,35999
Volkswagen,2014.0,2014 Volkswagen Amarok TDI420 (4X4),Ute / Tray,2014 Volkswagen Amarok TDI420 (4X4),USED,Automatic,"4 cyl, 2 L",4WD,Diesel,8.3 L / 100 km,272740,Brown / -,"Cardiff, NSW",NSW,4 cyl,UTE, 4 Doors, 5 Seats,16913
Subaru,2011.0,2011 Subaru Forester X,SUV,2011 Subaru Forester X,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,9.3 L / 100 km,112227,Silver / Grey,"Preston, VIC",VIC,4 cyl,SUV, 4 Doors, 5 Seats,15888
Toyota,2018.0,2018 Toyota C-HR (2WD),SUV,2018 Toyota C-HR (2WD),USED,Automatic,"4 cyl, 1.2 L",Front,Premium,5.5 L / 100 km,87616,Blue / Black,"Phillip, ACT",ACT,4 cyl,SUV, 4 Doors, 5 Seats,25980
Toyota,2006.0,2006 Toyota Hiace Commuter,People Mover,2006 Toyota Hiace Commuter,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,0 L / 100 km,312315,White / -,"Cardiff, NSW",NSW,4 cyl,Van, 3 Doors, 14 Seats,19913
Mazda,2018.0,2018 Mazda 6 Touring,Sedan,2018 Mazda 6 Touring,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,45353,Red / Black,"Pakenham, VIC",VIC,4 cyl,Sedan, 4 Doors, 5 Seats,30990
Holden,2016.0,2016 Holden Captiva 7 LTZ (awd),SUV,2016 Holden Captiva 7 LTZ (awd),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.1 L / 100 km,120274,Brown / Black,"Echuca, VIC",VIC,4 cyl,SUV, 4 Doors, 7 Seats,19950
Mitsubishi,2007.0,2007 Mitsubishi Triton GLX 4x2,Valley Cars,2007 Mitsubishi Triton GLX 4x2,USED,Manual,-,Rear,Unleaded,-,327302,White / Grey,"Kurri Kurri, NSW",NSW,-,UTE,,,8999
Toyota,2019.0,2019 Toyota RAV4 GX (2WD),SUV,2019 Toyota RAV4 GX (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.5 L / 100 km,145518,Silver / Black,"Dandenong, VIC",VIC,4 cyl,SUV, 5 Doors, 5 Seats,33999
Nissan,2006.0,2006 Nissan Patrol ST-L (4X4),SUV,2006 Nissan Patrol ST-L (4X4),USED,Automatic,"6 cyl, 4.8 L",4WD,Unleaded,17.2 L / 100 km,228460,Silver / -,"Mayfield West, NSW",NSW,6 cyl,SUV, 4 Doors, 7 Seats,20990
Toyota,2018.0,2018 Toyota C-HR Koba (2WD),SUV,2018 Toyota C-HR Koba (2WD),USED,Automatic,"4 cyl, 1.2 L",Front,Premium,5.5 L / 100 km,77821,White / Leather,"Phillip, ACT",ACT,4 cyl,SUV, 4 Doors, 5 Seats,29250
Subaru,2018.0,2018 Subaru XV 2.0I-S,SUV,2018 Subaru XV 2.0I-S,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7 L / 100 km,48244,Grey / Black,"Seymour, VIC",VIC,4 cyl,SUV, 4 Doors, 5 Seats,34990
Haval,2018.0,2018 Haval H6 LUX,SUV,2018 Haval H6 LUX,USED,Automatic,"4 cyl, 2 L",Front,Premium,9.8 L / 100 km,68479,Silver / Grey,"Mayfield West, NSW",NSW,4 cyl,SUV, 4 Doors, 5 Seats,21990
Toyota,2013.0,2013 Toyota Corolla Fielder Hybrid,Garage Apex Epping,2013 Toyota Corolla Fielder Hybrid,USED,Automatic,-,Other,Other,-,108371,White / Grade,"Epping, VIC",VIC,-,Wagon,,,18000
Toyota,2009.0,2009 Toyota Aurion AT-X,Sedan,2009 Toyota Aurion AT-X,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,9.9 L / 100 km,162715,Silver / -,"Ringwood, VIC",VIC,6 cyl,Sedan, 4 Doors, 5 Seats,12990
Holden,2014.0,2014 Holden UTE,Ute / Tray,2014 Holden UTE,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,9.9 L / 100 km,209054,White / -,"Nowra, NSW",NSW,6 cyl,UTE, 2 Doors, 2 Seats,17999
Kia,2011.0,2011 Kia Sorento SLI (4X4),SUV,2011 Kia Sorento SLI (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.4 L / 100 km,185010,Grey / -,"Traralgon, VIC",VIC,4 cyl,SUV, 4 Doors, 7 Seats,19990
Honda,2022.0,2022 Honda CR-V VTI LX (awd) 5 Seats,SUV,2022 Honda CR-V VTI LX (awd) 5 Seats,USED,Automatic,"4 cyl, 1.5 L",AWD,Unleaded,7.4 L / 100 km,14757,Silver / Black,"Phillip, ACT",ACT,4 cyl,SUV, 4 Doors, 5 Seats,44800
Ford,2014.0,2014 Ford Ranger Wildtrak 3.2 (4X4),Ute / Tray,2014 Ford Ranger Wildtrak 3.2 (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9.6 L / 100 km,214634,Grey / -,"Wickham, NSW",NSW,5 cyl,UTE, 4 Doors, 5 Seats,27986
Audi,2018.0,2018 Audi A5 2.0 Tfsi S Tronic Sport,Hatchback,2018 Audi A5 2.0 Tfsi S Tronic Sport,USED,Automatic,"4 cyl, 2 L",Front,Premium,5.5 L / 100 km,97167,Black / Black/Black,"Berwick, VIC",VIC,4 cyl,Hatchback, 5 Doors, 4 Seats,44990
Mitsubishi,2008.0,2008 Mitsubishi Delica,UniBee Australia,2008 Mitsubishi Delica,USED,Automatic,-,Other,Unleaded,-,97091,Black / Grey,"Dandenong, VIC",VIC,-,Van,,,21990
Subaru,2020.0,2020 Subaru Forester 2.5I-L (awd),SUV,2020 Subaru Forester 2.5I-L (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,34266,Blue / -,"Traralgon, VIC",VIC,4 cyl,SUV, 4 Doors, 5 Seats,42999
Ford,2016.0,2016 Ford Ranger XL 3.2 (4X4),Ute / Tray,2016 Ford Ranger XL 3.2 (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,8.8 L / 100 km,137497,White / -,"Hamilton, NSW",NSW,5 cyl,UTE, 4 Doors, 5 Seats,36999
Mitsubishi,2016.0,2016 Mitsubishi Pajero GLX LWB (4X4),SUV,2016 Mitsubishi Pajero GLX LWB (4X4),USED,Automatic,"4 cyl, 3.2 L",4WD,Diesel,9 L / 100 km,165240,White / Cloth,"Phillip, ACT",ACT,4 cyl,SUV, 4 Doors, 7 Seats,32490
Hyundai,2018.0,2018 Hyundai I30 Active,Hatchback,2018 Hyundai I30 Active,USED,Automatic,"4 cyl, 1.6 L",Front,Diesel,4.7 L / 100 km,77899,White / -,"Traralgon, VIC",VIC,4 cyl,Hatchback, 4 Doors, 5 Seats,23999
Holden,2011.0,2011 Holden Commodore SV6,Ute / Tray,2011 Holden Commodore SV6,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,9.9 L / 100 km,120035,Black / Grey,"Ferntree Gully, VIC",VIC,6 cyl,UTE, 2 Doors, 2 Seats,19800
Holden,2002.0,2002 Holden Commodore Executive,Sedan,2002 Holden Commodore Executive,USED,Automatic,"6 cyl, 3.8 L",Rear,Unleaded,11 L / 100 km,182777,White / -,"Maryville, NSW",NSW,6 cyl,Sedan, 4 Doors, 5 Seats,6997
Jeep,2014.0,2014 Jeep Compass Sport (4X2),SUV,2014 Jeep Compass Sport (4X2),USED,Manual,"4 cyl, 2 L",Rear,Premium,7.6 L / 100 km,129898,White / Cloth,"Nunawading, VIC",VIC,4 cyl,SUV, 4 Doors, 5 Seats,12900
Isuzu,2019.0,2019 Isuzu D-MAX LS-M (4X4),Ute / Tray,2019 Isuzu D-MAX LS-M (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,7.7 L / 100 km,108966,White / Cloth,"Phillip, ACT",ACT,4 cyl,UTE, 4 Doors, 5 Seats,41800
